2	1	2224.57
3	1	8481.82
3	2	7718.05
4	1	5580
4	2	28295.6
4	3	4620
5	1	2700
5	2	27410
5	3	26330
6	2	29269.1
6	3	31994.6
6	4	26924
7	2	28820
7	3	39244.5
7	4	37600.4
7	5	24720
8	2	31408
8	3	41277.3
8	4	56499.5
8	5	37737.8
8	6	24782
9	2	30260
9	3	45340.9
9	4	58164.9
9	5	56314.4
9	6	39034.1
10	2	30340
10	3	45316
10	4	64977.2
10	5	64750.7
10	6	60320.5
11	3	45640
11	4	65481
11	5	76204.8
11	6	73439.9
11	7	58350
12	4	68650
12	5	79575.2
12	6	92161.7
12	7	74041.3
12	8	58549
13	4	68100
13	5	84453.2
13	6	97108
13	7	94105.3
13	8	75558
14	4	69990
14	5	85423
14	6	105284
14	7	104658
14	8	98733.2
15	5	88191
15	6	106502
15	7	115491
15	8	111955
15	9	97250
16	5	88150
16	6	110753
16	7	117981
16	8	127619
16	9	111420
16	10	97325
17	5	89580
17	6	111482
17	7	123865
17	8	131762
17	9	128219
17	10	112900
18	6	115670
18	7	126690
18	8	139807
18	9	137369
18	10	132153
19	6	115830
19	7	132018
19	8	143763
19	9	147801
19	10	143780
19	11	131821
20	6	119170
20	7	134180
20	8	151370
20	9	154402
20	10	160644
20	11	145976
20	12	134470
21	7	138790
21	8	155177
21	9	162504
21	10	167405
21	11	163076
21	12	149198
22	7	140010
22	8	162030
22	9	167734
22	10	177769
22	11	174145
22	12	168577
23	8	164770
23	9	175270
23	10	182970
23	11	186564
23	12	181724
23	13	168703
24	8	168500
24	9	179130
24	10	191836
24	11	193523
24	12	198256
24	13	183596
24	14	172004
25	9	183480
25	10	196020
25	11	202534
25	12	205587
25	13	200528
25	14	187005
26	9	184530
26	10	201600
26	11	208151
26	12	216680
26	13	211894
26	14	206046
27	9	185800
27	10	203010
27	11	214900
27	12	223123
27	13	224951
27	14	219357
27	15	206940
28	10	206890
28	11	218420
28	12	231627
28	13	232677
28	14	236536
28	15	221423
28	16	209410
29	10	208200
29	11	222840
29	12	235340
29	13	242113
29	14	245010
29	15	239285
29	16	224710
30	10	212100
30	11	224940
30	12	241630
30	13	247841
30	14	255619
30	15	250604
30	16	243685
31	11	228940
31	12	244040
31	13	254995
31	14	262207
31	15	262916
31	16	256738
31	17	243980
32	11	231400
32	12	249690
32	13	259170
32	14	271410
32	15	270852
32	16	271780
32	17	258313
32	18	246380
33	11	232200
33	12	251760
33	13	264690
33	14	275893
33	15	280956
33	16	280422
33	17	274057
33	18	261650
